scenario,region,GCAM_region_ID,year,gdpcap1q
PotYld_Diet,Indonesia,18,2040,874.3811999693365
PotYld_Diet,Indonesia,18,2050,1250.9088884888133
PotYld_Diet,Japan,19,2020,4984.098355612162
PotYld_Diet,Japan,19,2030,5499.719351467322
PotYld_Diet,Japan,19,2040,6070.988006949048
PotYld_Diet,Japan,19,2050,6721.496001037347
PotYld_Diet,Mexico,20,2020,445.25902182251554
PotYld_Diet,Mexico,20,2030,626.2001526626276
PotYld_Diet,Mexico,20,2040,919.5947491014135
PotYld_Diet,Mexico,20,2050,1393.802387448771
PotYld_Diet,Middle East,21,2020,810.9043268528162
PotYld_Diet,Middle East,21,2030,952.1681946379147
PotYld_Diet,Middle East,21,2040,1180.2138574614496
PotYld_Diet,Middle East,21,2050,1430.9536612495524
PotYld_Diet,Pakistan,22,2020,112.59938437812075
PotYld_Diet,Pakistan,22,2030,145.263309442398
PotYld_Diet,Pakistan,22,2040,216.03267271747225
PotYld_Diet,Pakistan,22,2050,329.86641563397353
PotYld_Diet,Russia,23,2020,936.7763711851464
PotYld_Diet,Russia,23,2030,1178.08558332388
PotYld_Diet,Russia,23,2040,1451.1375377273023
PotYld_Diet,Russia,23,2050,1622.32137755913
PotYld_Diet,South Africa,24,2020,11.461320841334059
PotYld_Diet,South Africa,24,2030,23.79350643377331
PotYld_Diet,South Africa,24,2040,43.34303804919483
PotYld_Diet,South Africa,24,2050,75.15892540078028
PotYld_Diet,South America_Northern,25,2020,NA
PotYld_Diet,South America_Northern,25,2030,NA
PotYld_Diet,South America_Northern,25,2040,NA
PotYld_Diet,South America_Northern,25,2050,NA
PotYld_Diet,South America_Southern,26,2020,432.1245183571962
PotYld_Diet,South America_Southern,26,2030,570.303206028484
PotYld_Diet,South America_Southern,26,2040,757.6071541326455
PotYld_Diet,South America_Southern,26,2050,1012.7500215825967
PotYld_Diet,South Asia,27,2020,110.56556151367712
PotYld_Diet,South Asia,27,2030,171.86258934306883
PotYld_Diet,South Asia,27,2040,252.16607175906358
PotYld_Diet,South Asia,27,2050,372.91018578273406
PotYld_Diet,South Korea,28,2020,2406.804718426845
PotYld_Diet,South Korea,28,2030,3174.868007431877
PotYld_Diet,South Korea,28,2040,4001.3543986538166
PotYld_Diet,South Korea,28,2050,5008.230774602474
PotYld_Diet,Southeast Asia,29,2020,315.67435503586825
PotYld_Diet,Southeast Asia,29,2030,467.8286904928438
PotYld_Diet,Southeast Asia,29,2040,663.0502323953818
PotYld_Diet,Southeast Asia,29,2050,936.5557938049755
PotYld_Diet,USA,1,2020,3267.364154375037
PotYld_Diet,USA,1,2030,3447.761184239003
PotYld_Diet,USA,1,2040,3663.579443789309
PotYld_Diet,USA,1,2050,3844.928465548904
Reference,Africa_Eastern,2,2020,55.34977950063185
Reference,Africa_Eastern,2,2030,78.98302730596438
Reference,Africa_Eastern,2,2040,122.6085483560845
Reference,Africa_Eastern,2,2050,198.6608713605289
Reference,Africa_Northern,3,2020,322.6174479242474
Reference,Africa_Northern,3,2030,450.9935609559776
Reference,Africa_Northern,3,2040,634.542743564384
Reference,Africa_Northern,3,2050,880.0256072189518
