GCAM_commodity,GCAM_region_ID,Nfixkg,totval,Nfixkg.yld
Vegetables,5,671.5781997556088,151476117,4.433558326264785e-6
Vegetables,6,1505349.9171729828,43972339,0.03423401964523613
Vegetables,7,3224.2929845348453,85680033,3.763178971388638e-5
Vegetables,8,18390.398617157996,38802926,4.7394360459203507e-4
Vegetables,9,11673.448295339189,56496963,2.0662081066798562e-4
Vegetables,10,697.4292649297892,146240402,4.769060091408865e-6
Vegetables,11,5017802.6258292785,3848653570,0.0013037813184701055
Vegetables,12,10040.358541415546,200979649,4.995709063764733e-5
Vegetables,13,237965.9292582178,788065290,3.0196220069306413e-4
Vegetables,14,838.2473194019038,131145668,6.391727093890008e-6
Vegetables,15,75363.91475892547,372403772,2.02371512925829e-4
Vegetables,16,1832.5963412588103,6201763,2.954960293159881e-4
Vegetables,17,674100.7115738426,934719827,7.211794294953396e-4
Vegetables,18,511440.10505853454,124573954,0.004105513942814519
Vegetables,19,2015.2011465158848,138976187,1.4500334122103125e-5
Vegetables,20,11532.605907195464,157552477,7.31985058362203e-5
Vegetables,21,12281.071598285282,167004165,7.35375168534586e-5
Vegetables,22,9637.456015588816,58902633,1.6361672687176506e-4
Vegetables,23,3932.54152976136,385409834,1.0203531884350828e-5
Vegetables,24,3112.7765793832036,34125145,9.121650851251193e-5
Vegetables,25,5330.775058127378,926775,0.005751962513153006
Vegetables,26,53624.98264833126,86710522,6.184368564674453e-4
Vegetables,27,14931.34799736468,38205034,3.908214817284204e-4
Vegetables,29,93831.89015172483,100206848,9.363820140488285e-4
Vegetables,31,6938.298199518062,42357093,1.6380487205573956e-4
Vegetables,32,8223.442135745492,26048140,3.1570170214631417e-4
Vegetables,NA,50812.36781612189,388800141,1.3069019904527734e-4
Wheat,1,0,1067473184,0
Wheat,2,0,77874000,0
Wheat,3,0,258549499,0
Wheat,4,0,5594880,0
Wheat,5,0,1613577,0
Wheat,6,0,389045477,0
Wheat,7,0,70771938,0
Wheat,8,0,443265700,0
Wheat,9,0,223028,0
Wheat,10,0,396300146,0
Wheat,11,0,1918321208,0
Wheat,12,0,617590880,0
Wheat,13,0,1833610249,0
Wheat,14,0,320449894,0
Wheat,15,0,416581028,0
Wheat,16,0,15656974,0
Wheat,17,0,1327185900,0
Wheat,19,0,12932300,0
Wheat,20,0,60420447,0
Wheat,21,0,144564252,0
Wheat,22,0,367297400,0
Wheat,23,0,1563656880,0
Wheat,24,0,36699830,0
Wheat,26,0,56120951,0
Wheat,27,0,103404309,0
Wheat,29,0,2399185,0
Wheat,31,0,251947125,0
Wheat,32,0,680836,0
Wheat,NA,0,250136725,0
NA,5,0,5466779,0
NA,7,0,1800589,0
NA,9,0,1282037,0
NA,11,0,9921759,0
NA,17,0,12957859,0
NA,18,0,38111364,0
NA,20,0,489890,0
NA,26,0,178241,0
NA,27,0,2110100,0
NA,29,0,79832385,0
NA,NA,0,59525343781,0
